Geography,7/1/2010,7/1/2011,7/1/2012,7/1/2013,7/1/2014,7/1/2015,7/1/2016,7/1/2017,7/1/2018
Alameda County,1513043,1530998,1554138,1580247,1608674,1634634,1650306,1658131,1666753
Alpine County,1161,1093,1110,1127,1082,1087,1057,1121,1101
Amador County,37884,37538,37101,36625,36738,37037,37438,38551,39383
Butte County,219945,219952,220873,221664,223570,224812,226529,229207,231256
Calaveras County,45468,45160,44821,44660,44673,44957,45303,45642,45602
Colusa County,21437,21327,21294,21265,21198,21269,21553,21675,21627
Contra Costa County,1052559,1065452,1077731,1093758,1109358,1124606,1137194,1144863,1150215
Del Norte County,28568,28442,28189,27817,27198,27246,27422,27428,27828
El Dorado County,181133,180918,180578,181497,183161,184660,186082,188722,190678
Fresno County,932063,939479,945349,952029,961311,970442,977956,986542,994400
Glenn County,28126,28144,27860,27826,27857,27776,27851,27956,28047
Humboldt County,135000,135215,134560,134407,134514,135114,136314,136527,136373
Imperial County,174730,175813,176678,176605,178233,179179,180268,181574,181827
Inyo County,18512,18393,18353,18360,18320,18174,17996,17948,17987
Kern County,841072,848140,853963,862557,869957,877197,882361,888988,896764
Kings County,152381,151886,151026,150416,149603,150199,149509,149696,151366
Lake County,64735,64247,63963,63809,64058,64254,63884,64162,64382
Lassen County,34832,34238,33624,32126,31710,31383,30906,31123,30802
Los Angeles County,9822433,9876727,9938436,9998105,10048408,10097037,10120540,10118759,10105518
Madera County,151006,151702,151594,151470,153590,153739,154160,155904,157672
Marin County,252905,255363,256072,258453,260435,261016,260633,259725,259666
Mariposa County,18277,18168,17880,17808,17713,17622,17455,17437,17471
Mendocino County,87800,87334,87304,87077,87257,87168,87382,87697,87606
Merced County,256732,259333,260971,262198,264649,266651,267971,271340,274765
Modoc County,9699,9512,9355,9149,9080,9048,8935,8848,8777
Mono County,14257,14423,14334,14074,14142,14043,14202,14235,14250
Monterey County,416396,420542,425000,427054,428980,431241,434767,435477,435594
Napa County,136808,137750,138625,139706,140567,141096,141185,140386,139417
Nevada County,98785,98697,98140,97952,98589,98709,98964,99503,99696
Orange County,3016559,3050867,3080419,3108009,3130322,3153962,3170707,3179950,3185968
Placer County,350026,356312,360277,365445,369326,373058,379288,385565,393149
Plumas County,19914,19715,19374,18895,18662,18516,18772,18740,18804
Riverside County,2201652,2234301,2261967,2288043,2317955,2347921,2382570,2417224,2450758
Sacramento County,1421414,1433739,1445078,1457750,1475618,1494294,1511510,1527718,1540975
San Benito County,55517,55982,56614,57267,57867,58243,59235,60199,61537
San Bernardino County,2040910,2061040,2074195,2083871,2100776,2117311,2134174,2153203,2171603
San Diego County,3103306,3137372,3175201,3211248,3250993,3284061,3310280,3325468,3343364
San Francisco County,805550,815677,829027,839841,851116,863836,872795,879166,883305
San Joaquin County,687156,694388,699782,702387,711771,721929,732185,742516,752660
San Luis Obispo County,269805,271050,274184,275751,278296,280171,281958,282838,284010
San Mateo County,719725,728404,739427,749013,757670,765447,768204,768808,769545
Santa Barbara County,424235,425481,429825,434823,439358,442522,444675,445606,446527
Santa Clara County,1786079,1812166,1838370,1867302,1892984,1917481,1929581,1933383,1937570
Santa Cruz County,263167,264882,266416,268940,271035,273730,274702,275105,274255
Shasta County,177277,177572,177868,178401,178905,178361,178581,179539,180040
Sierra County,3221,3099,3067,3029,2980,2996,2957,3009,2987
Siskiyou County,44938,44610,44073,43532,43379,43336,43479,43784,43724
Solano County,413944,416305,419699,423749,429155,433708,439300,443877,446610
Sonoma County,484776,487423,490071,494243,498803,501346,503249,503246,499942
Stanislaus County,515165,517614,520594,523722,528346,533534,539542,545267,549815
Sutter County,94753,94485,94210,94545,94830,95388,95898,96438,96807
Tehama County,63565,63336,63227,62898,62788,63090,63352,63718,63916
Trinity County,13754,13681,13486,13427,13123,13094,12830,12726,12535
Tulare County,442994,446864,449975,452769,455602,457803,460023,463097,465861
Tuolumne County,55191,54825,54218,54000,53828,53550,53704,54039,54539
Ventura County,825130,830196,833801,838601,842946,846922,848921,850802,850967
Yolo County,201083,201959,204623,206368,208518,212053,215530,218376,220408
Yuba County,72350,72492,72792,73114,73562,74083,75002,76775,78041
